City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,edinboro,41.8742,-80.1317,79.81,57,96,13.47,US,1718294599
345,kijang,35.2442,129.2139,69.53,81,0,4.7,KR,1718294599
346,piacabucu,-10.4056,-36.4344,79.63,84,65,10.47,BR,1718294522
347,williamson,30.6502,-97.6003,89.71,72,40,4.0,US,1718294600
348,east london,-33.0153,27.9116,59.94,82,0,1.14,ZA,1718294600
349,aral,40.5156,81.2636,85.77,22,17,9.51,CN,1718294600
350,abeche,13.8292,20.8324,105.82,18,20,6.91,TD,1718294600
351,calimaya,19.16,-99.6208,66.49,28,100,3.96,MX,1718294600
352,padangsidempuan,1.3667,99.2667,72.79,99,100,2.01,ID,1718294600
353,les sables-d'olonne,46.6667,-1.8333,61.59,70,100,11.88,FR,1718294600
354,akureyri,65.6835,-18.0878,66.13,37,0,6.91,IS,1718294600
355,urucara,-2.5364,-57.76,91.36,49,10,6.91,BR,1718294601
356,hirara,24.8,125.2833,82.67,100,100,9.22,JP,1718294409
357,villa gesell,-37.2639,-56.973,72.05,56,100,20.02,AR,1718294587
358,mount gambier,-37.8333,140.7667,42.96,79,100,4.68,AU,1718294601
359,sao joao da barra,-21.6403,-41.0511,84.29,60,0,13.6,BR,1718294601
360,greenland,43.0362,-70.8328,80.69,50,20,8.05,US,1718294477
361,tukrah,32.5341,20.5791,96.53,20,1,7.56,LY,1718294601
362,nova sintra,14.8667,-24.7167,73.04,83,100,22.66,CV,1718294601
